263429	,328965	,263429	,263429	,263429	,263429	,328965	,328709	,328965	,328965	,328965	,263429	,328965	,328966	,263429	,328965	,328965	,394502	,328966	,328966	,328966	,263429	,329222	,328966	,328966	,328966	,394760	,395016	,328965	,328965	,328965	,263429	,263173	,263429	,328965	,328965	,263173	,263172	,328965	,328965	,263429	,263172	,328965	,328965	,328709	,328709	,263173	,263173	,263172	,263172	,
328965	,328965	,328965	,328966	,328965	,328965	,328965	,328966	,328965	,328965	,328966	,328965	,328965	,394758	,328965	,328965	,328966	,394759	,328966	,328966	,328966	,329221	,394758	,328967	,263430	,328967	,394760	,460553	,394757	,328965	,328965	,263429	,328965	,328965	,328965	,328965	,328965	,263173	,328965	,328965	,328965	,328965	,328965	,328965	,328709	,328965	,263172	,263172	,263172	,263173	,
328965	,328966	,328965	,328966	,328965	,328965	,328965	,394501	,328965	,328965	,328965	,263429	,328965	,394759	,328966	,328966	,328965	,394758	,394758	,394758	,394759	,394759	,394758	,329223	,329223	,328966	,394761	,460553	,328966	,328966	,394502	,263429	,328965	,328965	,328966	,394758	,328965	,328966	,328965	,328966	,328965	,263429	,328965	,328965	,328965	,328965	,263429	,263172	,263172	,263172	,
328966	,328965	,328965	,328966	,328965	,328965	,328966	,394758	,328965	,328965	,394502	,328965	,329222	,394759	,328966	,329222	,328966	,394758	,394758	,394758	,394759	,394759	,394758	,328967	,329223	,329222	,394761	,460554	,394758	,394758	,394758	,328966	,328966	,328965	,328966	,328966	,328966	,394758	,328966	,328967	,328965	,263429	,328966	,328965	,328965	,263429	,328709	,263173	,263173	,328964	,
328966	,328966	,328966	,328966	,328966	,328966	,328966	,394501	,328966	,394758	,328966	,394758	,328966	,394759	,328966	,328966	,328966	,394758	,394758	,394759	,328966	,328966	,394759	,329223	,394759	,394759	,460554	,460554	,394758	,394759	,394758	,329222	,328966	,328966	,328966	,328966	,394758	,329222	,328966	,329222	,328965	,328965	,328966	,328965	,328965	,328965	,328708	,328965	,263172	,328965	,
328966	,394502	,328965	,328966	,394758	,394758	,328965	,394758	,328965	,329222	,394503	,394502	,394759	,394759	,394758	,329222	,328967	,394758	,394758	,394758	,394503	,328966	,394759	,329223	,394759	,328966	,460554	,526346	,394759	,394759	,394758	,329223	,328966	,328966	,394759	,329223	,394758	,328966	,328965	,328966	,328965	,328965	,328965	,328965	,328965	,328965	,263429	,328965	,263172	,263173	,
394758	,394502	,329222	,328966	,394758	,394758	,328966	,328965	,394758	,394758	,394758	,394758	,394759	,394759	,394759	,394759	,329222	,394759	,460295	,394759	,394759	,329222	,394758	,329223	,394759	,394759	,395017	,460810	,394758	,329223	,394758	,394758	,394759	,394759	,394759	,394759	,394758	,394758	,328966	,328966	,328965	,328965	,328965	,328965	,328965	,328965	,263173	,328965	,263429	,263172	,
394758	,394758	,394758	,328967	,394758	,328966	,394758	,394758	,328966	,394758	,394758	,394759	,394759	,394759	,394759	,394758	,394758	,394760	,460295	,394759	,394759	,394759	,394759	,394759	,394759	,394759	,460554	,526347	,394759	,394759	,394758	,263686	,329222	,329222	,394759	,328965	,0	,263427	,394758	,328965	,328966	,328965	,328965	,263429	,328965	,328965	,263174	,263429	,263172	,263429	,
329222	,394758	,394758	,328966	,394758	,394759	,394759	,394758	,394758	,394758	,394758	,394759	,460551	,394760	,394759	,394759	,394758	,460295	,460551	,394759	,394759	,394760	,394759	,394759	,394759	,394759	,460811	,526348	,394759	,394759	,263687	,1312519	,985095	,657416	,722952	,1315099	,3616850	,1249312	,526342	,591881	,526344	,526344	,526088	,394758	,394500	,460552	,1115912	,526088	,460551	,460551	,
394759	,394758	,394758	,394759	,394759	,329479	,394758	,460294	,460295	,394759	,394759	,394759	,460551	,460551	,394759	,394759	,394759	,460296	,460552	,395015	,394760	,394760	,460551	,394759	,394759	,460295	,460811	,526347	,460551	,460551	,394759	,854024	,985867	,855052	,985352	,4213853	,10800615	,3949922	,1116937	,1380626	,1314834	,1380882	,1249296	,1052947	,2108221	,789515	,1117454	,1248783	,1117711	,1051919	,
394759	,394759	,394758	,394759	,395015	,394759	,460551	,460551	,460551	,460551	,460551	,460551	,526088	,460552	,395015	,460551	,460551	,460552	,460552	,460552	,394760	,395016	,526345	,460552	,460552	,460552	,526348	,526348	,460295	,394759	,394758	,395016	,723723	,723467	,1314834	,1381398	,1383199	,1249810	,1380369	,1249297	,1314833	,1249040	,1117968	,855310	,1053979	,592137	,1051918	,1248782	,1117452	,1117453	,
460295	,460295	,460551	,394759	,395015	,460295	,460552	,460551	,460551	,460552	,526344	,460807	,460552	,460553	,460552	,460551	,460551	,460552	,526088	,526088	,460552	,460552	,526344	,460552	,460553	,460552	,526347	,526604	,526088	,395015	,394759	,460552	,723723	,789516	,1315091	,1314834	,1182990	,1380625	,1380370	,1314834	,1315090	,1183505	,1183504	,855052	,723209	,592138	,1117454	,1249040	,1117454	,1117454	,
460552	,460551	,394759	,395016	,460552	,460552	,460551	,526344	,526344	,460551	,460552	,773	,516	,517	,197894	,329224	,772	,395016	,395016	,66566	,66565	,132357	,526345	,526088	,460552	,460552	,526605	,526862	,526344	,591624	,591623	,656904	,855310	,855053	,1907226	,2761763	,2564126	,1380884	,1380627	,1446677	,1381141	,1249554	,1118223	,855053	,855052	,658187	,1249039	,1445904	,1249039	,1183503	,
394758	,394758	,395015	,394759	,394759	,263687	,197895	,395016	,132101	,263687	,1247754	,4533540	,4797738	,5190440	,2957080	,1970444	,3810596	,1182735	,1445389	,3876644	,4007975	,3219231	,722954	,460552	,460809	,526345	,592142	,657936	,395272	,1378827	,2232335	,4993312	,921102	,920846	,1841178	,2301729	,2104350	,1709593	,1709593	,1709851	,1578264	,1446679	,1971753	,1579033	,1052945	,657930	,1314576	,1445905	,1511955	,1709848	,
