12534881	,12599662	,12597619	,12660849	,12660853	,12726134	,13118328	,13249664	,13315970	,13382029	,13643409	,14101650	,14494870	,15019420	,15480223	,15942819	,16472484	,16674216	,16678056	,16613294	,16679858	,16681142	,16681657	,16682176	,16157848	,15042870	,14845740	,14778669	,13983543	,12927819	,13254505	,16072380	,16666854	,16675038	,16545235	,15102122	,13198154	,13523523	,14637464	,14506161	,13979809	,13715857	,12796788	,11812185	,10499139	,9908794	,8924468	,8465198	,8464430	,7939127	,
12534880	,12599658	,12532335	,12792435	,12726133	,12660598	,12922232	,13249664	,13250947	,13513100	,13708688	,14035859	,14232725	,14692251	,15348637	,16072611	,16471463	,16673703	,16611752	,16613035	,16680109	,16680884	,16681916	,16683452	,16028026	,15044135	,15043624	,14910255	,13918267	,12863311	,13516401	,16401346	,16536805	,16675802	,16676308	,15298990	,13394766	,13457730	,14506129	,14768558	,14045602	,13454477	,12601202	,11681630	,10368840	,9777465	,9186611	,8595503	,8463919	,7742766	,
12732260	,12665958	,12598633	,12858479	,12857203	,12792439	,12857466	,13184384	,13185155	,13381512	,13708684	,14102163	,14101654	,14758044	,15283357	,15743646	,16404648	,16672933	,16677286	,16679081	,16680877	,16681142	,16681919	,16552632	,15634273	,14913060	,15043370	,14910001	,13853502	,12864340	,13712759	,16402377	,16604390	,16676055	,16676306	,15495600	,13461077	,13327425	,14506376	,14834350	,14046632	,13323920	,12535668	,11877729	,10630476	,9580858	,8924727	,8398386	,8332593	,7677234	,
12601441	,12731749	,12730215	,12728428	,12726382	,12726644	,12726395	,12988033	,13184901	,13513096	,13709453	,13970577	,14101142	,14626203	,15151773	,15678367	,16469414	,16672165	,16677286	,16679592	,16680623	,16681144	,16682171	,16355502	,15437136	,15044135	,15239980	,15106615	,13852747	,12733278	,13975935	,16404682	,16670693	,16676052	,16676049	,15364532	,13264470	,13130556	,14309502	,14768557	,14308007	,13518991	,12798070	,11746907	,10499399	,9515578	,8530739	,8464176	,8333107	,7676470	,
12470619	,12732002	,12730215	,12532075	,12793199	,12791924	,12726395	,12856702	,13119362	,13315971	,13643914	,13839761	,14035606	,14495130	,15086237	,15546529	,16402852	,16606115	,16611495	,16679594	,16680620	,16615602	,16682935	,16421533	,15241019	,15109925	,15174956	,15172924	,14180697	,12995432	,14304647	,16472782	,16671459	,16676309	,16676047	,15495350	,13461337	,13262134	,14375032	,14702765	,14439080	,13847447	,12861815	,11812189	,10303560	,9318713	,8924981	,8465196	,7938860	,7348535	,
12470356	,12797791	,12862056	,12729708	,12793967	,12660338	,12922491	,12988284	,13315970	,13512837	,13578380	,13577616	,14037142	,14364311	,14823835	,15611557	,16140194	,16672163	,16677286	,16680107	,16681131	,16681906	,16683190	,16290436	,15110185	,15175972	,15109676	,15238466	,14378607	,13191545	,14435982	,16604884	,16541663	,16677076	,16676304	,15626425	,13788764	,13392689	,14571635	,14899377	,14046378	,13585303	,12862332	,12139109	,10761293	,9712444	,8596530	,8333612	,8070189	,7152947	,
12667737	,12733278	,12862819	,12730217	,12794478	,12857971	,12988538	,13053820	,13250177	,13512837	,13710477	,13775760	,13971347	,14233240	,14692508	,15546531	,16074401	,16671139	,16677025	,16680358	,16681642	,16682676	,16683957	,15962478	,15241254	,15307815	,15307056	,15369810	,14379155	,13322906	,14633627	,16672466	,16673757	,16677328	,16676047	,15692218	,13920096	,13458482	,14571116	,14899630	,14046632	,13453974	,12665980	,12008806	,10826572	,9908794	,8793395	,8595250	,8266797	,7546416	,
12733279	,12536923	,12666718	,12665188	,12598379	,12858739	,12791673	,12921980	,13250178	,13513349	,13514119	,13710477	,14102165	,14298521	,14626715	,15284897	,16074664	,16670378	,16677284	,16680867	,16681385	,16617396	,16487088	,15699805	,15437350	,15175718	,15437875	,15632735	,14315180	,13652661	,15029160	,16673236	,16674268	,16677581	,16676303	,15758524	,13855332	,13262132	,14440296	,14965677	,14440368	,13585049	,12600189	,11681381	,10630987	,10236219	,9250870	,8331828	,7808046	,7545393	,
12798555	,12864095	,12798304	,12862567	,12926319	,12793450	,12726895	,12792186	,13185663	,13316998	,13448075	,13776272	,13971858	,14233240	,14692508	,15219106	,15878051	,16670372	,16676775	,16681124	,16616105	,16683189	,16618401	,15503688	,15241765	,15110438	,15372599	,15960946	,14905280	,13719753	,15162040	,16609237	,16609756	,16677836	,16676304	,15889597	,14051431	,13392948	,14375008	,14834089	,14112432	,13455003	,12796800	,11747170	,10762060	,9646653	,9054774	,8463664	,7808556	,7545387	,
12798807	,12929888	,12798052	,12797544	,12795499	,12859244	,12990065	,12858230	,12923770	,13317249	,13513866	,13842315	,13775500	,14167705	,14430366	,15088545	,15878818	,16605349	,16677025	,16680871	,16682158	,16683697	,16421521	,15372344	,15373088	,15307304	,15700800	,16223880	,15102412	,13982674	,15426755	,16677073	,16677082	,16678345	,16676303	,15955391	,14117739	,13262130	,14243932	,14768807	,14243761	,13586078	,12600959	,11485540	,10762319	,9647164	,8859437	,8727341	,8333107	,7938611	,
12864851	,12733532	,12667236	,12732262	,12796010	,12860014	,12990065	,12858232	,12857981	,13251456	,13448584	,13711756	,13776268	,14037401	,14298778	,14891677	,15747744	,16606113	,16677537	,16680869	,16682417	,16684722	,16159867	,15306542	,15373090	,15373351	,15962953	,16420510	,15102677	,14179801	,15822799	,16678611	,16678357	,16678343	,16675790	,16020673	,14314353	,13262643	,13982039	,14637990	,14309300	,13586078	,12666754	,11813226	,11090509	,9778748	,8859184	,8726830	,8332590	,7676209	,
12930644	,12733528	,12667745	,12601190	,12730730	,12794733	,12793199	,12792184	,12857217	,13185667	,13514377	,13712274	,13711506	,13906583	,14233500	,14891681	,15681951	,16410013	,16677538	,16681126	,16682927	,16618928	,15831654	,15306794	,15438629	,15504683	,16159318	,16682928	,15299286	,14310618	,16021972	,16679892	,16679122	,16678343	,16675534	,16085698	,14444918	,13196598	,13850964	,14638503	,14244533	,13520798	,12797317	,12009324	,10762569	,9646910	,8792631	,8594993	,7938854	,7611691	,
12995926	,12865116	,12799584	,12601956	,12600422	,12730217	,12859762	,12989818	,12923774	,13185665	,13580162	,13777804	,13777553	,13841553	,14168987	,14695070	,15550880	,16344732	,16677794	,16681126	,16683440	,16553384	,15503958	,15307297	,15373600	,15504683	,16290152	,16683195	,15496405	,14506718	,16089043	,16680398	,16680402	,16678600	,16676045	,16151487	,14379897	,13262904	,13917010	,14703783	,14309813	,13585827	,12797576	,11747431	,10369101	,9450301	,8727348	,8399154	,8070188	,7808556	,
