855820	,988710	,725004	,1248779	,988449	,1052947	,1183763	,855309	,1053201	,1184023	,1249558	,1512475	,1447444	,1382164	,1513239	,1578519	,1184274	,1513241	,1381905	,1447185	,1644312	,1710618	,1513239	,1644823	,1776150	,1776160	,1382692	,1317416	,1317675	,1317677	,1382944	,1644061	,1447444	,1052179	,2234903	,1776670	,4537642	,3551015	,5458222	,4735281	,1184023	,1250329	,2433052	,1973790	,2039835	,2499107	,1775649	,1381914	,1448735	,1382429	,
987157	,1054763	,921104	,1052179	,1119007	,1052947	,987156	,1118479	,1250067	,1184274	,1250065	,1447187	,1250069	,1052949	,1381653	,1315347	,1447194	,1447707	,1447446	,1315347	,1512730	,1579034	,1513241	,1579034	,1579032	,1710366	,1382690	,1252136	,1513514	,1448236	,1448735	,1381912	,1184276	,2169364	,3222315	,4208694	,2039842	,1512987	,1448477	,1251104	,1382944	,1053214	,1973792	,1449253	,2432799	,1973541	,659989	,1315611	,1315357	,1446943	,
1052179	,1251625	,1118743	,855822	,1117970	,1052688	,987671	,1053464	,1118481	,1052686	,1118740	,1184526	,1381401	,1447197	,1381651	,1250067	,1513500	,1316121	,1316373	,1447446	,1578521	,1447446	,1447959	,1710620	,1644314	,1513498	,1710880	,1383720	,1383207	,1252649	,1579040	,1512475	,1053719	,3681308	,4601899	,3419431	,1644314	,2565414	,1315608	,1513498	,1119520	,1777692	,3354916	,1119772	,2038051	,2368037	,2566440	,1184535	,2696482	,1185563	,
855050	,987673	,988702	,1250580	,1249808	,986897	,1118743	,1119518	,1184015	,1316119	,1250077	,1184276	,1249815	,1447448	,1250065	,1381655	,1316119	,1316122	,1250328	,1381653	,1381140	,1315860	,1382166	,1579032	,1513241	,1579291	,1514019	,1383722	,1579558	,1185828	,1448222	,1381912	,1316373	,2693906	,2234391	,1710359	,1710618	,2826527	,1316122	,1382166	,1315862	,2301975	,3354136	,1119512	,2104867	,3090729	,3420207	,921882	,1645086	,1052437	,
855309	,987157	,1053728	,1250847	,1184535	,790553	,987156	,1052950	,921100	,1052949	,1250077	,1118229	,1184276	,1250065	,1184276	,1381401	,1315860	,1381915	,1447708	,1250067	,1315860	,1447448	,1513241	,1513241	,1513241	,1644827	,1646116	,1449255	,1514276	,1448486	,1251104	,1316122	,1052177	,2631193	,2892059	,2104600	,1579284	,1513239	,1710616	,1447959	,1709587	,1184276	,1644573	,1447195	,1447705	,1052437	,1447446	,1842715	,2236451	,4274736	,
854796	,1053725	,1119785	,922660	,1052688	,1184800	,1250593	,1250328	,1249815	,1250328	,1053201	,1118481	,1250067	,1118481	,1381402	,1381655	,1250065	,1315608	,1579294	,1315858	,1513237	,1381655	,1513239	,1710618	,1644827	,1710880	,1579812	,1514279	,1252647	,1251882	,1448226	,1447448	,921364	,986895	,5981486	,5458740	,3023645	,3745311	,856340	,2302494	,1512730	,856851	,1645856	,1381401	,1053466	,987154	,1184022	,1250329	,3092263	,4539705	,
920591	,987671	,1055537	,923177	,920840	,1184536	,1251885	,1054242	,1053464	,1381661	,1315858	,1315860	,1184276	,1579293	,1052949	,1381653	,1315601	,1250067	,1316119	,1381653	,1579032	,1513498	,1579030	,1513239	,1579293	,1579294	,1580069	,1383720	,1645100	,1448750	,1251876	,1185052	,855057	,3483929	,5324068	,4273195	,2763555	,2498075	,2629402	,2039321	,1645336	,1710367	,1184787	,1119512	,1513239	,1512726	,2171682	,1777442	,1184023	,2630431	,
1184801	,920841	,793140	,1185327	,1117970	,922129	,1384500	,1055016	,987671	,1711144	,1579034	,1447194	,1512988	,1513500	,1447959	,1118479	,1381142	,1579032	,1447705	,1710877	,1513501	,1513500	,1579543	,1578780	,1776413	,1711396	,1842730	,1383981	,1448750	,1383983	,1580323	,1250077	,987154	,6641969	,3615257	,1776660	,1972759	,1250067	,2302229	,1776149	,1250578	,1447448	,1512728	,1184533	,1382166	,1447194	,2105376	,1910568	,1447448	,2434593	,
1251104	,1117450	,530218	,1187380	,988435	,1184536	,1383471	,1713967	,1513498	,1187370	,1184785	,1249556	,1447959	,1448477	,1710357	,1446419	,1514268	,1776670	,2171428	,1843231	,2105378	,2104600	,1776920	,2039585	,2105384	,1581352	,1712940	,1516599	,1384759	,1254194	,1515308	,1907997	,2104598	,7762270	,6573357	,3090202	,1971478	,1382166	,1381392	,1513490	,1315349	,1380375	,3419682	,2696987	,986131	,1644823	,1118742	,4341809	,2171420	,986643	,
1117970	,1052940	,1119008	,1255231	,1579040	,1184272	,923420	,2109752	,1910056	,1187105	,1250067	,1512728	,1710375	,2041390	,1516072	,2302755	,1712425	,2303016	,2368297	,1975078	,2369839	,2697262	,2173740	,2370088	,2041895	,1845302	,1845302	,1648699	,1582659	,1385790	,1778993	,2368546	,2301213	,6115649	,7887665	,7295277	,1381914	,1447444	,1974042	,3683622	,3026721	,1513750	,1974041	,1842456	,1052686	,2302244	,2237475	,2040864	,1448473	,2500645	,
